Recency,Frequency,Monetary,Churn
2,11,5356.2300000000005,0
79,6,13925.93,0
1,39,12683.4,0
4,21,9823.64,0
627,2,1367.89,1
34,8,1617.1,0
738,1,141.0,1
3,52,22950.22,0
8,12,14093.710000000001,0
116,7,9903.24,0
51,8,5020.74,0
37,14,6474.11,0
427,41,5996.83,1
58,15,6559.7300000000005,0
69,4,1917.99,0
326,12,3283.96,1
4,13,6283.24,0
8,74,35233.24,0
20,57,92347.34,0
736,1,181.65,1
14,9,3097.61,0
15,9,2317.43,0
30,22,15526.7,0
157,21,16245.78,0
3,33,24042.65,0
137,12,3914.9500000000003,0
2,57,29018.06,0
157,8,2433.28,0
2,203,113416.91,0
275,55,54144.25,1
32,28,13324.1,0
30,12,2957.4700000000003,0
398,3,1624.84,1
581,2,831.45,1
58,9,1976.3,0
0,28,8537.32,0
21,12,3445.32,0
31,12,8224.37,0
1,19,6621.7,0
1,106,50174.782,0
43,3,940.8000000000001,0
666,3,419.87,1
688,2,148.22,1
1,72,12793.28,0
232,11,3019.2200000000003,1
737,2,1182.0,1
204,6,1433.07,1
143,37,16498.97,0
529,3,684.54,1
10,18,6336.04,0
0,33,9811.04,0
88,10,3297.9300000000003,0
30,10,2533.06,0
67,4,2999.16,0
399,8,1764.02,1
42,11,6308.0,0
59,5,127.9,0
240,5,1582.77,1
95,9,2064.35,0
286,4,2094.57,1
11,15,8698.13,0
1,73,33903.57,0
0,61,49638.26,0
366,6,3127.9900000000002,1
308,3,1679.56,1
301,6,2642.35,1
27,6,4008.52,0
95,11,5257.38,0
78,6,1876.23,0
72,7,3379.93,0
42,19,6775.71,0
210,5,2046.34,1
6,44,39019.51,0
39,35,12523.81,0
0,37,21770.98,0
23,22,8346.66,0
506,3,917.4300000000001,1
32,5,1115.68,0
736,1,214.8,1
30,4,1044.96,0
2,33,12987.95,0
405,3,362.42,1
1,24,8839.67,0
9,156,313437.62,0
18,20,7860.8,0
1,4,1024.83,0
8,25,32051.34,0
23,7,8479.76,0
7,27,14070.25,0
430,3,742.9000000000001,1
44,18,4452.02,0
736,1,82.60000000000001,1
64,7,1969.38,0
434,3,661.39,1
7,13,5982.03,0
16,12,2203.2400000000002,0
381,4,1276.66,1
281,2,257.1,1
2,122,27246.88,0
27,39,14587.87,0
310,4,913.6,1
6,44,6114.03,0
434,2,2605.62,1
0,192,29951.37,0
67,7,2247.72,0
1,151,528602.52,0
0,12,3593.06,0
737,1,246.86,1
28,7,1376.43,0
10,54,20395.34,0
241,7,3216.78,1
13,13,1899.79,0
8,21,5115.76,0
9,11,1803.06,0
3,56,12240.16,0
3,25,11573.62,0
735,1,112.03,1
9,25,9972.550000000001,0
620,2,594.62,1
50,2,338.15000000000003,0
679,3,1676.57,1
422,2,769.9200000000001,1
52,14,7163.0,0
6,4,92.52,0
2,9,1228.17,0
84,3,1492.81,0
22,14,3365.95,0
156,8,1971.39,0
0,398,291420.81,0
90,11,1811.25,0
59,32,17629.35,0
146,6,941.99,0
10,22,16410.15,0
49,6,1982.6100000000001,0
736,1,150.68,1
15,8,1550.6499999999999,0
15,56,13754.58,0
22,9,3926.91,0
3,127,126389.02,0
6,53,17286.73,0
17,13,7491.92,0
2,28,12021.53,0
65,9,3706.02,0
150,4,3345.64,0
21,5,856.03,0
25,40,13517.76,0
0,208,114966.42,0
333,5,1700.52,1
254,7,2794.47,1
448,2,613.08,1
8,11,3248.96,0
691,5,6798.72,1
84,4,1560.46,0
15,19,14417.36,0
29,7,4810.92,0
83,16,17259.19,0
511,3,855.71,1
3,12,2211.05,0
120,38,7480.4,0
10,30,14191.74,0
7,16,3137.96,0
9,47,21373.97,0
189,8,2117.27,1
660,2,283.73,1
8,10,4028.69,0
8,12,3472.41,0
31,31,10195.97,0
1,18,6452.991,0
9,17,5993.12,0
217,7,830.9300000000001,1
115,34,15308.89,0
14,8,2399.57,0
735,2,777.0,1
305,21,17180.25,1
737,1,80.4,1
3,52,32275.95,0
431,2,244.60000000000002,1
247,5,530.17,1
364,4,646.27,1
14,18,3440.34,0
16,13,2771.94,0
22,12,2966.0,0
2,30,8393.02,0
375,2,368.31,1
35,16,8274.14,0
29,10,5613.83,0
7,29,5601.01,0
58,10,2687.73,0
28,15,14644.6,0
51,12,9957.42,0
18,5,1111.15,0
7,20,6188.18,0
280,4,1232.79,1
231,6,2407.98,1
413,5,1386.12,1
9,66,10360.67,0
3,12,5608.1,0
360,9,2501.9900000000002,1
0,35,33750.97,0
70,9,1818.31,0
736,1,107.33,1
71,7,604.5500000000001,0
426,4,1664.92,1
551,7,2753.52,1
1,23,5297.77,0
508,7,2869.16,1
49,23,6695.28,0
1,48,24151.3,0
108,18,8813.58,0
0,38,13304.11,0
53,6,4412.56,0
32,9,3245.4300000000003,0
3,6,1758.93,0
735,1,160.39,1
8,25,8830.77,0
8,26,9916.73,0
2,9,2868.48,0
16,22,8189.56,0
505,5,2956.56,1
198,2,964.6999999999999,1
1,53,32809.03,0
28,15,3957.63,0
392,5,1802.02,1
226,7,2243.09,1
186,19,2246.06,1
34,3,658.17,0
48,16,3206.54,0
2,11,2521.4,0
2,29,12576.99,0
10,11,3602.29,0
245,4,613.59,1
737,1,128.60000000000002,1
20,13,3638.53,0
27,14,5517.2300000000005,0
35,6,1242.75,0
737,1,221.53,1
16,7,892.46,0
30,17,10209.16,0
105,5,953.63,0
27,15,4310.34,0
34,9,2310.04,0
648,3,595.7,1
2,32,7331.67,0
0,69,20203.58,0
545,2,38.92,1
735,1,204.3,1
25,21,3826.86,0
7,17,3750.63,0
24,17,4904.43,0
375,5,922.59,1
13,5,998.53,0
354,6,1259.94,1
14,10,1586.63,0
40,28,4347.31,0
23,78,17644.27,0
0,61,57215.33,0
11,5,1425.38,0
2,16,4220.22,0
43,6,2249.52,0
0,45,31466.760000000002,0
17,9,1728.99,0
425,7,2542.79,1
395,2,489.86,1
2,60,172132.87,0
16,15,4774.17,0
7,41,8711.95,0
0,43,17951.17,0
738,1,148.3,1
736,1,87.30000000000001,1
6,28,8337.53,0
140,2,342.22,0
52,7,3577.61,0
16,14,6679.97,0
22,24,15956.970000000001,0
112,11,2098.48,0
50,5,1513.57,0
7,7,3292.73,0
375,3,383.78000000000003,1
15,20,10085.89,0
737,1,124.78,1
1,211,68545.25,0
421,6,1552.35,1
406,3,1596.29,1
30,46,26312.190000000002,0
29,15,1582.0500000000002,0
736,1,110.05,1
58,14,3429.29,0
48,16,30306.79,0
0,118,117314.08,0
20,100,2866.74,0
144,5,1152.19,0
379,3,639.24,1
11,6,924.14,0
153,15,167.42,0
21,28,6083.81,0
97,17,14761.52,0
0,145,580987.04,0
253,3,848.8100000000001,1
175,16,3435.5,0
11,28,10150.51,0
